Time, Ax1, Ay1, Az1, Gx1, Gy1, Gz1, R1, P1, Y1, Ax2, Ay2, Az2, Gx2, Gy2, Gz2, R2, P2, Y2
3.015000105,0.001037598,-0.01574707,-0.962341309,19.53125,-6.973266602,44.090271,-92.38456726,1.299129963,98.86210632,-1.406311035,0.15802002,-0.381225586,-14.68658447,-0.114440918,-0.885009766,93.24028015,52.68190002,-67.23651123
3.065000057,-0.001403809,-0.01373291,-0.987121582,5.020141602,-0.640869141,28.64837646,-93.01859283,0.288201034,98.42266846,-1.462036133,0.146362305,-0.280029297,-32.69195557,-5.043029785,-0.961303711,96.68979645,55.10965347,-72.05593872
3.164000034,-0.022460938,-0.054016113,-1.015014648,0.442504883,0.968933105,-4.15802002,-90.62888336,2.001028061,92.81421661,-1.442138672,0.15234375,-0.306945801,-7.308959961,7.362365723,-6.858825684,112.725647,54.04740143,-75.91511536
3.213999987,0.004516602,-0.054870605,-1.002502441,-4.096984863,0.503540039,-17.52471924,-90.7513504,1.814401388,90.82817841,-1.430297852,0.181152344,-0.310119629,-7.476806641,10.65063477,-9.536743164,124.3795242,52.66599274,-78.56963348
3.263999939,0.00604248,-0.010864258,-0.985778809,-12.96234131,2.296447754,-29.89959717,-90.05067444,1.097638369,89.03639984,-1.450012207,0.150146484,-0.316833496,-1.350402832,6.629943848,-10.26916504,151.6323242,52.30268478,-80.24146271
3.313999891,0.012512207,0.028259277,-0.985229492,-20.42388916,6.278991699,-43.45703125,88.6150589,-0.046203747,88.71308899,-1.490722656,0.139404297,-0.368896484,1.350402832,1.350402832,-13.98468018,178.3112488,51.26629257,-81.60458374
3.362999916,-0.009216309,0.073425293,-0.977966309,-29.38079834,9.643554688,-59.63897705,88.70950317,-0.704938412,89.24972534,-1.504943848,0.190246582,-0.296447754,-15.46478271,0.190734863,-21.63696289,-174.4452057,52.25949097,-84.91038513
3.411999941,0.069641113,0.115234375,-0.962097168,-25.49743652,20.67565918,-77.67486572,89.07463074,-3.252144098,90.45632172,-1.553100586,0.116394043,-0.325683594,-0.335693359,-8.117675781,-23.78082275,-158.5255737,52.36876297,-85.54360962
3.461999893,0.05065918,0.19519043,-0.963745117,-35.17150879,23.65112305,-91.03393555,88.89343262,-4.80410862,91.87005615,-1.501098633,0.175170898,-0.255065918,-37.31536865,-9.140014648,-19.29473877,-160.609314,52.68922424,-89.55297852
3.512000084,0.040466309,0.163574219,-0.949768066,-34.76715088,25.16174316,-92.31567383,88.81784058,-5.199150562,92.54076385,-1.45098877,0.087036133,-0.302734375,-13.2522583,-16.55578613,-9.895324707,-153.9048767,51.59682846,-89.99149323
3.562000036,-0.000610352,0.295166016,-0.932434082,-39.18457031,28.89251709,-97.00775146,88.59954834,-5.569184303,93.50200653,-1.426513672,0.133911133,-0.251342773,-73.95935059,-10.50567627,-10.23864746,-157.0510559,52.08198929,-93.03005981
3.612999916,0.00189209,0.279968262,-0.915100098,-29.83856201,19.88983154,-98.31237793,88.51150513,-5.319480419,93.85416412,-1.369873047,0.194519043,-0.272644043,-4.425048828,-26.16882324,8.46862793,-160.022995,50.62998199,-98.14619446
3.711999893,-0.078186035,0.493041992,-0.821044922,-25.33721924,19.04296875,-106.2088013,88.82958984,-2.719123125,105.1659775,-1.322875977,0.165588379,-0.158569336,-41.90826416,-31.6696167,15.22827148,-154.9709167,49.51708603,-100.8819275
3.762000084,-0.110595703,0.559814453,-0.821655273,-35.93444824,28.03039551,-106.5368652,88.91410065,-2.127795935,110.9788513,-1.285339355,-0.086914063,-0.148986816,-24.22332764,-42.06085205,26.67236328,-146.2051239,47.8584137,-95.66164398
3.812000036,-0.172912598,0.604553223,-0.768920898,-43.62487793,20.56121826,-104.5150757,89.27598572,-1.003086686,116.6364594,-1.19152832,0.077941895,-0.12689209,-68.7789917,-37.42980957,35.11047363,-150.5081177,47.06160355,-102.3660583
3.861999989,-0.251403809,0.654418945,-0.767578125,-41.24450684,22.41516113,-103.5232544,89.76920319,1.702652097,122.043869,-1.144470215,-0.185546875,-0.108764648,18.49365234,-60.39428711,62.27111816,-145.102356,44.25724792,-97.96443176
3.911999941,-0.362792969,0.657409668,-0.693847656,-34.36279297,21.88110352,-99.94506836,92.10382843,6.469093323,127.046814,-1.010437012,-0.00378418,-0.05090332,-89.1418457,-48.45428467,64.84222412,-149.6893616,44.53713989,-105.9501572
3.960999966,-0.388916016,0.683776855,-0.687683105,-37.23144531,14.85443115,-94.73419189,93.41035461,7.935955048,131.8434296,-0.899169922,-0.038696289,-0.178955078,37.04071045,-70.60241699,81.43615723,-150.4711761,41.00020981,-109.5422287
4.010000229,-0.508056641,0.55847168,-0.75994873,-58.15887451,7.255554199,-79.09393311,95.83301544,11.01742935,137.9489746,-0.711730957,0.043579102,-0.118530273,-71.54083252,-40.21453857,69.43511963,-155.3066711,40.11499405,-118.5952301
4.06099987,-0.515625,0.256530762,-0.644348145,-30.5557251,2.883911133,-39.67285156,100.8099899,14.8724966,144.3156738,-0.751342773,-0.013427734,-0.190307617,18.01300049,-30.50994873,33.04290771,-152.2133179,36.89532089,-116.9152679
4.111000061,-0.512329102,0.537719727,-0.648681641,-13.29803467,-2.632141113,-7.850646973,100.1782913,13.76936054,144.3013458,-0.825195313,-0.207885742,-0.14263916,-10.6048584,-0.709533691,-15.77758789,-143.7685394,35.14695358,-100.0607758
4.160999775,-0.521179199,0.587036133,-0.598693848,15.35797119,-5.20324707,8.163452148,98.80870819,12.81263351,144.6699677,-0.867919922,-0.069519043,-0.089355469,25.42114258,4.081726074,-16.1895752,-145.0114594,35.29206467,-98.34430695
4.211999893,-0.496582031,0.629577637,-0.561889648,25.84075928,-5.058288574,26.55792236,97.1135025,11.18740749,142.9470825,-0.891357422,-0.103759766,-0.001281738,2.601623535,11.58905029,-33.0581665,-144.1237335,35.36368179,-88.97881317
4.261000156,-0.44152832,0.584289551,-0.607910156,18.95141602,-9.727478027,42.80853271,95.16822052,9.488581657,142.0147552,-0.86114502,0.006164551,-0.068603516,25.99334717,29.88433838,-44.00634766,-146.8451691,35.0246048,-96.26561737
4.360000134,-0.383666992,0.628601074,-0.622253418,47.75238037,-9.010314941,75.98876953,92.92978668,6.956724644,136.7342987,-1.02557373,0.057922363,-0.275085449,10.68115234,56.7779541,-83.11462402,-148.3522491,33.90136719,-108.1637039
4.410999775,-0.438781738,0.666503906,-0.740966797,25.48217773,-2.807617188,94.50531006,91.59135437,5.308103085,133.9028168,-0.962341309,-0.095214844,-0.093933105,42.51098633,56.80847168,-92.31567383,-144.509903,33.2988472,-98.1377182
4.460999966,-0.178283691,0.653137207,-0.724182129,34.37042236,-4.768371582,94.81048584,89.70764923,1.174510121,130.0281525,-1.264892578,0.019958496,-0.089782715,16.02172852,57.46459961,-76.68304443,-146.549118,34.17601395,-99.58283997
4.511000156,-0.211120605,0.578796387,-0.771057129,31.12030029,-9.384155273,98.52600098,89.6882019,1.983920932,126.5666199,-1.265319824,-0.101074219,-0.230224609,33.30993652,56.4956665,-55.43518066,-145.9497528,33.49864197,-102.8459702
4.559999943,-0.19140625,0.631408691,-0.708984375,47.47772217,6.34765625,90.57617188,88.83000946,-3.380572319,124.6481018,-1.418701172,0.018066406,-0.128417969,-1.121520996,44.6395874,-45.7611084,-149.6706238,35.41275024,-103.6991653
4.611000061,-0.060241699,0.442504883,-0.848449707,21.484375,-12.94708252,102.06604,87.92745209,-6.687998295,121.3105927,-1.384765625,-0.079406738,-0.309082031,9.422302246,48.62213135,-18.38684082,-150.0457611,35.04061127,-110.2380753
4.660999775,-0.145812988,0.462463379,-0.809570313,42.37365723,-0.23651123,95.06225586,88.11766052,-4.947439671,119.1324692,-1.489685059,0.102539063,-0.188598633,-10.49041748,38.99383545,-13.66424561,-155.032074,36.29073715,-118.052803
4.710999966,-0.027587891,0.319885254,-0.877441406,35.987854,-11.25335693,107.0632935,87.83234406,-6.985612869,115.7483139,-1.43347168,-0.081054688,-0.362548828,-17.65441895,38.03253174,2.075195313,-153.2630463,35.93252563,-117.8233109
